																																															
				Lv. 1						Lv. 10						Lv. 20						Lv. 27						Lv. 37						Lv. 47						Lv. 58						Lv. 73	
																																															
				Strong Poison						X						X						X						X						Week Holy (Possible Heal attack)						Week Holy						Week Holy / Strong Ice / Immune Poison (Possible Heal attack)	
																																															
				8						120						300						720						1500						2750						4800						15300	
																																															
				0						45						0						40						100						0						150						200	
				3						20						33						50						77						117						200						315	
	Snail			4 ~ 6 meso			Ribbon Pig			20 ~ 30 meso			Stirge			32~ 48 meso			Evil Eye			48 ~ 72 meso			Lupin			88 ~ 132 meso			Mummydog			172 ~ 258 meso			Dark Stone Golem			280 ~ 420 meso			Commander Skeleton			374 ~ 575 meso	
	Snail Shell		Red Potion		Scroll for Helmet for DEF 10%		Pig's Ribbon		Red Potion		 Stiff Feather		Stirge Wing		Orange Potion		Bule Potion		Evil Eye's Tail		Orange Potion		Scroll for Pole Arm for ATT 10%		Lupin Doll		 Stiff Feather		Scroll for Cape for MP 60%		Dirty Bandage		Scroll for Cape for STR 10%		Emerald Ore		Dark Stone Golem Rubble		Dark Starlight (M)		Dark Crystal Ore		Horse Skull		Mana Elixer		Elixer
	Scroll for Cape for Magic Def 60%		Arrow for Bow		Bronze Ore		Scroll for Shield for DEF 10%		Silver Leather Hoodwear (M)		Dark Nightshift (M)		Steel Ore		Garnet Ore		Lemon		Yellow Square		Speed Potion		Gold Sneak (F)		Bule Potion		Leather		Kumbi Throwing-Star		White Potion		Elixer		Bule Potion		Bule Potion		Elixer		Black Crystal Ore		Diamond Ore		Aquamarine Ore		Amethyst Ore
	Garnet Ore		Arrow for Crossbow		Green Headband		Dark Nightshift Pants (M)		Mithril Ore		Amethyst Ore		 Stiff Feather		Steel Corporal (M)		Steel Corporal Pants (M)		Great Red Helmet		Cat's Eye		Silver Ore		Emerald Ore		Silver Ore		Lupin's Banana		Topaz Ore		Adamantium Ore		Brown Jangoon Pants (M)		Tobi Throwing-Star		Scroll for Two-Handed BW for ATT 60%		Maroon Jangoon Armor (M)		The Summoning Rock		Scroll for Earring for INT 60%		Scroll for Overall Armor for LUK 60%
	Green Apple						Leather		Amethyst Earrings		Wooden Samurai Sword		Red Pao (M)		Red Pao Bottom (M)		Pink Qi Pao (F)		Sapphire Ore		White Wizard Robe (M)		Cutlus		Aluminum Baseball Bat		Snowball		Brown Jester		Red Jangoon Armor (F)		Brown Piettra (F)		Brown Piette Pants (M)		White Jangoon Pants (M)		 Purple Shadow (F)		 Purple Shadow Pants (M)		Blue Orientican Pants (M)		Red Ice Queen (F)		Blue Orientican (M)
							Red-Striped T-Shirt (F)		Orange Sporty T-Shirt (M)		Pistol		Purple Qi Pao Skirt (F)		Scroll for Knuckle for ATT  60%		Scroll for Cape for Magic Def 10%		Bule Potion		Gold Sneak Pants (F)		Blue Engrit (F)		Blue Guise		 Purple Steal (F)		 Purple Steal Pants (F)		White Calas (M)		Blue Calaf (F)		Mithril Brist		Brown Pierre Shoes		Green Sonata		Black Maro		Red Ice Queen Skirt (F)		Blood Mantis Pants (F)		Blood Mantis Pants (F) 바지
							Brown Cotton Lagger		Brown Lagger Slipper		Arrow for Bow		Green Robin Hat		Ryden		Scroll for Helmet for INT 100%		Arrow for Bow		Arrow for Crossbow		Green Bennis Chainmail (F)		Dark Pole-Feather Hat		Dark Legolier (M)		Dark Legolier Pants (M)		Scroll for Two-Handed BW for ATT 60%		Brown Moon Gloves		Bronze Pow		Steel Brist		Old Steel Nordic Helm		Holy Cross Earrings		Blue Linnex (M)		Beige Lineros (F)		Brown Requierre (F)
							Arrow for Crossbow						Scroll for One-Handed Axe for Accuracy60%		Work Gloves		Brown Cotton Lagger		Bennis Chainpants (M)		Forked Spear		Red Hwarang Shirt (M)		Scroll for Pole Arm for Accuracy10%		Sapphire Fitted Mail (F)		Black Yellow-Lined Shoes		Oaker Garner		Brown Leather Ocean Hat		Bronze Clench		Dark Manute		Black Magic Cape		Dark Identity		Steel Aquila Shield		Blue Wing Boots		Green Pirate Boots
													Beige Carribean						Diamond Ore		White Potion		Green Avelin (F)		Gold Moon Shoes		Mithril Tower Shield		Dark Avarice		The Summoning Rock		Scroll for Topwear for STR 10%		Scroll for Topwear for LUK 60%		Red Orientican (M)		Red Orientican Pants (M)		Blue Goldrunners		Red Rivers Boots		Green Enigma Shoes		Scroll for Topwear for STR 60%
